effect_size,var
1.0592554,6.777648573333753e-05
0.78560865,8.044114974778763e-05
0.959566,0.00010144854870976997
0.8736428,0.00010202974636081344
0.6225937,9.823685215199721e-05
0.86285424,9.770492253727368e-05
0.8807265,0.00011542372705819481
1.1644112,6.490012435184447e-05
1.2577002,6.07481305436692e-05
0.90827614,7.810568011732636e-05
1.0238714,6.649736327333025e-05
1.1111608,0.00010939467984409732
1.2905754,6.170858909630792e-05
1.2328072,7.98036852176498e-05
0.5282488,0.00021179146891387238
0.9282589,6.613221846322407e-05
1.1770856,8.033099552443371e-05
0.73607445,7.46675714630475e-05
0.9431734,8.436101458123794e-05
0.93781877,8.73005792181936e-05
0.85527474,8.177538891908365e-05
1.114825,7.479472927851647e-05
0.82930166,9.121875173780103e-05
1.007365,8.171764154664505e-05
0.936264,0.00011797194309044138
1.1704366,6.071662405149683e-05
0.5905971,0.00012806972038087797
0.7883541,9.288148112823833e-05
0.8967991,0.00010227947381175832
1.1245496,6.467607461274963e-05
0.8514924,7.328909840884426e-05
1.0241201,7.55427864153899e-05
1.2225155,6.690996035901842e-05
0.77716196,7.758801749180658e-05
1.0674415,0.00010493934051482388
0.55124426,0.00016207401766271667
0.9931787,9.250863162307832e-05
1.1325065,7.472536437792832e-05
0.75680673,0.00010878017483785529
1.0714571,6.550740378616707e-05
1.1184571,8.010074417420798e-05
0.4583008,0.0002652876329399846
1.0163888,8.320957707864951e-05
0.86765534,8.459872735699925e-05
1.1801527,6.664626944431762e-05
0.81789404,0.00014166183415379244
0.667712,0.00010939709559588343
1.162036,6.918846565201822e-05
1.0669882,7.598468486171104e-05
0.7658455,7.670635039297522e-05
0.94240487,0.000103701929744935
1.010601,8.122260146309693e-05
1.2489915,6.76542329317055e-05
1.02434,8.318502701665318e-05
1.0317229,8.002081244828929e-05
0.9578317,8.068545793388313e-05
1.0650886,5.9788594270791286e-05
1.1477822,6.506251118856918e-05
0.6233586,0.00010630911667809662
0.99069476,7.508750434793987e-05
1.1306494,6.531945529681185e-05
0.71895975,7.92772654891619e-05
0.7561884,0.00013028925712564674
0.69280624,8.191521893255796e-05
0.56866,0.00017319233107910507
1.1536801,7.915021222033945e-05
0.96413374,8.797901342528017e-05
0.8880067,7.293401506750733e-05
1.2968649,6.569510898014885e-05
0.8102888,7.882574825422792e-05
0.7787271,0.00013455100834728565
1.0312631,6.966217904454206e-05
0.9348728,7.309349282548592e-05
0.7224922,0.00011513118576113313
1.1791115,6.649667976511928e-05
0.61408705,0.00014670309395673278
1.1091595,7.20066777972761e-05
0.85697544,0.00012910309458229966
0.8019296,0.00011781674070988988
0.9656643,0.00010164133313797855
1.004053,7.40741666099276e-05
0.9484584,8.883459799283958e-05
1.1446046,6.682819764791681e-05
0.93789977,8.070311034247615e-05
1.1437,6.834794467325614e-05
1.0486223,8.237885116033853e-05
0.6219801,0.00010634589752443833
0.66960967,9.622664796241423e-05
0.7277606,0.0002009235924865238
1.0290295,6.738398636906093e-05
0.71411777,8.292225429244824e-05
0.8984402,0.00010173372650326782
0.90843797,0.00011840911656785247
0.691914,0.00010371522680050708
1.1751417,6.737108219748936e-05
1.1826253,9.940030601593777e-05
0.94761723,8.202989512193573e-05
0.8117384,0.0001109441943123457
0.87801254,9.846113974434998e-05
1.209827,7.359252797999819e-05
1.0814401,7.640572763947893e-05
1.0727092,6.306424647498435e-05
0.9737553,0.0001139585882687236
1.1757642,6.592696475306303e-05
0.75203633,8.989159967995406e-05
0.85215914,0.00010155159081565515
1.1606207,6.334636031509692e-05
0.8684692,7.340444877064565e-05
1.1151407,8.760186850954865e-05
0.791184,0.00011230070987335028
0.75778294,0.00011885966832109185
1.1021876,0.00014998740947336567
1.1597393,7.622989157071106e-05
1.0607592,0.00010112319627289621
0.9812408,7.77109376729002e-05
0.63831735,7.220145778138402e-05
1.0409217,5.598117652685767e-05
0.91023624,6.324296940342367e-05
0.5463903,0.0001162138041549722
1.088673,7.028245416695281e-05
1.2063005,7.428265337040829e-05
0.8265758,0.00010361575666448589
0.9860631,9.031094650592628e-05
0.9729712,8.239105766372299e-05
0.97755516,8.982342750997463e-05
0.6559216,0.00010981659326635921
1.141445,6.464502550517035e-05
1.0420432,9.188982250940645e-05
0.7942144,9.129823628723031e-05
0.7825115,7.960721000306679e-05
0.85598147,0.0001051088092794009
1.092162,7.727772865587321e-05
1.2087698,8.990191339157492e-05
0.9710648,9.270054892409566e-05
0.8856328,0.00018744293750317179
0.9781063,7.859068090485324e-05
1.2063266,7.167575348726671e-05
0.9978645,7.568083036658957e-05
1.0401285,7.220460742141457e-05
1.2293851,8.0268220026985e-05
0.92600334,9.64994723813917e-05
1.149911,8.924565043305979e-05
1.20314,7.036759957699049e-05
1.1213441,7.1738482267103e-05
1.1292543,6.35774532533823e-05
1.2039613,7.613434561296387e-05
1.0044798,6.619324606334329e-05
0.9241249,0.00010112340231141839
0.9421437,7.805822860038406e-05
0.52498895,0.00010606830667956105
0.82347536,0.00010052098362361983
0.8419733,0.00011892931148133837
1.1533223,5.9446506021639846e-05
0.8562246,0.00015288943278277903
0.7796123,0.00011714043838456992
1.2429434,8.022952542877451e-05
